"data","candidato","intencao"
"10/9","Bolsonaro",24
"10/9","Haddad",9
"10/9","Ciro",13
"10/9","Alckmin",10
"10/9","Marina",11
"14/9","Bolsonaro",26
"14/9","Haddad",13
"14/9","Ciro",13
"14/9","Alckmin",9
"14/9","Marina",8
"19/9","Bolsonaro",28
"19/9","Haddad",16
"19/9","Ciro",13
"19/9","Alckmin",9
"19/9","Marina",7
"28/9","Bolsonaro",28
"28/9","Haddad",22
"28/9","Ciro",11 
"28/9","Alckmin",10
"28/9","Marina",5
"2/10","Bolsonaro",32
"2/10","Haddad",21
"2/10","Ciro",11 
"2/10","Alckmin",9
"2/10","Marina",4
"4/10","Bolsonaro",35
"4/10","Haddad",22
"4/10","Ciro",11  
"4/10","Alckmin",8
"4/10","Marina",4
"6/10","Bolsonaro",36
"6/10","Haddad",22
"6/10","Ciro",13 
"6/10","Alckmin",7
"6/10","Marina",3
