"data","candidato","intencao"
"10/9","Bolsonaro",26
"10/9","Haddad",8
"10/9","Ciro",11
"10/9","Alckmin",9
"10/9","Marina",9
"18/9","Bolsonaro",28
"18/9","Haddad",19
"18/9","Ciro",11
"18/9","Alckmin",7
"18/9","Marina",6
"23/9","Bolsonaro",28
"23/9","Haddad",22
"23/9","Ciro",11
"23/9","Alckmin",8
"23/9","Marina",5
"24/9","Bolsonaro",27
"24/9","Haddad",21
"24/9","Ciro",12
"24/9","Alckmin",8
"24/9","Marina",6
"30/9","Bolsonaro",31
"30/9","Haddad",21
"30/9","Ciro",11 
"30/9","Alckmin",8
"30/9","Marina",4
"2/10","Bolsonaro",32
"2/10","Haddad",23
"2/10","Ciro",10 
"2/10","Alckmin",7
"2/10","Marina",4
